"id","x","y","z","seq_id"
"205","371926.6135","146990.6998","0","8"
"205","371966.8093","147033.1287","0","9"
"205","371983.5576","147077.7907","0","10"
"205","371995.8396","147126.9189","0","11"
"205","371999.1893","147186.096","0","12"
"205","371991.3734","147249.7394","0","13"
"206","371534.9877","147644.2285","0","0"
"206","371451.1049","147671.7244","0","1"
"206","371386.2034","147669.5621","0","2"
"206","371323.6766","147647.2311","0","3"
"206","371258.9167","147618.2008","0","4"
"206","371232.1195","147548.9747","0","5"
"206","371234.3526","147477.5155","0","6"
"206","371265.616","147397.1239","0","7"
"206","371303.5787","147356.9282","0","8"
"206","371361.6393","147343.5296","0","9"
"206","371417.4668","147327.8979","0","10"
"206","371475.5274","147323.4317","0","11"
"206","371526.8887","147323.4317","0","12"
"207","371212.0216","148052.5387","0","0"
"207","371322.5601","148023.5084","0","1"
"207","371425.2826","148001.1774","0","2"
"207","371552.5693","147990.0119","0","3"
"207","371688.7884","147983.3126","0","4"
"207","371847.3385","147981.0795","0","5"
"207","371972.3921","147981.0795","0","6"
"207","372110.8443","147990.0119","0","7"
"207","372220.2662","148001.1774","0","8"
"207","372339.737","148022.3919","0","9"
"208","372410.0796","147952.0492","0","0"
"208","372396.681","147831.4619","0","1"
"208","372378.8162","147710.8745","0","2"
"208","372374.35","147554.5575","0","3"
"208","372383.2824","147429.5039","0","4"
"208","372405.6134","147322.3151","0","5"
"208","372427.9444","147228.5249","0","6"
"208","372451.392","147128.0354","0","7"
"208","372473.723","147039.828","0","8"
"208","372493.3346","146949.8076","0","9"
"208","372519.3646","146899.6336","0","10"
"209","372469.3253","146851.6174","0","0"
"209","372334.7776","146877.9944","0","1"
"209","372153.2732","146882.3945","0","2"
"209","371925.497","146900.2593","0","3"
"209","371746.849","146904.7255","0","4"
"209","371581.5996","146918.124","0","5"
"209","371358.2897","146935.9888","0","6"
"209","371237.7023","146935.9888","0","7"
"209","371134.9797","146931.5226","0","8"
"209","371112.6487","146931.5226","0","9"
"300","371067.9867","146989.5832","0","0"
"300","371114.8818","147136.9678","0","1"
"300","371141.679","147253.089","0","2"
"300","371150.6114","147369.2102","0","3"
"300","371172.9424","147498.73","0","4"
"300","371181.8748","147605.9188","0","5"
"300","371177.4086","147699.709","0","6"
"300","371172.9424","147780.1006","0","7"
